asset_id,share_id,md5_hex,frame_hashes_hex,hash_version,width,height,duration_ms,bitrate,frame_rate,file_size_bytes,popularity,superseded_by,object_reclaimed_at
86fe5bb9-935f-5cbd-8bba-f7cdf873b6bf,s_a1029d0a2013,731621c93d168bdfac320d60a77482c6,8dfc7a657723311c8dfc7e647723311c8dfc7e657723311c8dfc7e657723331c89fc7e647733331c89fc7e657733331c8dfc7e257733311c8dfc7a247733311c8dfc7e243733311c8ddc7a243333311c855c7a243333b19c857cbe263333b19e957cba263331b19e957cb6b731b1b19e957cb6b539b1b18e95bcb7b5b9b9b58e95bcb7b5bbb9bd8e957eb7b7bb989d8e957eb7969b989d8e953eb7929b989d8e953e97929b989c8e952e95929b989e0e95aa95929b981e0e95aa979699981e0e95ae979299985e0e95ae979699985e0e95ac929699985e0e95ac929699981c0e952c92969b981e0e95bc96969b981e0e953c96969b991e0e953c96969b991e0e953c969693991e0e953c96b693991c0e957c96b693991c0e9154b6b613991c0e9954beb613999c0e8954aea633919c0e895caea632b19c0e8958a6ae32b3bd8e8958a6ac32b3be9e8958a62c32b3ba9e8978ae2d32b3b21e89782e2d36b3321e89786e2d26b3331c09786e6d6673331c19f8ee4d6663331c11f0cecde667333c11f0cecdc4e6333891f0ded9cce6733a93f0dcdbcde6777a83e0bc9a8fce777a83e0dc9a8fcee77285e0949a9bcee7f387f0b8b29b8ee7f385c0b8b29b9ee7b385c0b8b29b9ef7b38fc0b8b63a9ed7a38dc0b0b6369ed7a38d40b0f6369e57a38d40b0f4329e57e38b80b0f6b29e56e38a80b0d6b69cd6638a80b0d2b2bc96638d80b0d2b6bc96638d88b098b6bc16e38d88b098b6bc96e38d80b098b63c96e38d80b098b63cb6e39d80b098a63cb6e39f8090d8e63e3ec31f8090d8e63e3ed31d80b0d8e63c3e979d8090d8e63e3e971d80b098e63a3e971d80b098e63a3e971d80b098e63a3e979980b090e63a3e979d00b0d4e63a3e979d00b0d4e67a3e979d00b054ee7a3e979d10b0d0eefa3e979d10b0d0eefb3e9f9d109098eefb3e9e9d108098eefb3e9e9d1080b8eefb3e9e1d1080b8eefd3e5e1d109098eefd3e5e19109098eefd3e6a9c108098aee5b26a9d1080a8aee4bb6e951080a8aee6bb7e951088a8aee6fb7c951088a4a6e6f97c919080a4a6f6f97c939080a426b6f978138080a426bef83a919081a432bfecfa953081a672bfe6d8852091a232bee6d885209142b0bcf7dc05205142d05633cc0d705142545633ce0d70514a50d61bc60d60514258d65bc70968514078f65ed70968114068f25cb3896811c028e05c33896a91c028f04c3b896a9181a8f06cbb89ea9191a8f06eb989ea1591d8f86e9989ea3590d8f8669889ea31909cf8669889ea319194f8669889ea31a194e8e61c89c831a194f8e25c898a31a194f8e2cc89ca31a198f8e2cc89ca31a198b0e2cc89ca30a1b0b0e0cc89ca30a1b0b8e0cc899a30a190b0e0cc899830a190b0e8cc899a70a190b0e8cc899a60a190b0e8cc899a60a190b0e8cc899a60a190b0e8cc899a60a180f0e8cca99a70a160f4e8cc899a70a134d4e8cc899a70a554d4e8cc899a70a534d4e8cc899a702554d0e8cc899a700554d0e8c8899a704554d0e9c8899a70455450f1c8c99260455050f1c8c9926045d054f1c8d9126045d054d1c8db126045d054d1c99b126245d054d1c99b126045d054d1c891546645d0d4d0c891506645d094d2c8285052888a9ab09b21604498ba32301b212110123230341ac189302a72503613c3292a38501012b183396a3850501ab98313405818183034875740581818385907224a182918381a0f2e2a39383938188f2f2539393969188f450959793969180f4d0178597979890f4d257a595979894d4d563a5b5939984d0392537b79b9084d0b537b3939b908070b73713939980aa12b3339781a9a9821ab3139381a9a184515103818981898559490b8b99998182b08809899b9d8592b04a49bb8387858a5a492999c38980913929b58b89998981199a9b85cc8e9c8a1cd181c6ccdace88e88909474d4f474838990945cd494988999929cdcd49c98098c8a95f89cbcb84d4818d4949cb0b8494850a4b488b234490c013024349a6a,dhash-v2-gray640-equalized-area9x8@0.1s,1280,720,18112,1383493,30,3132230,36,,
3da095d5-23eb-5c83-ac6f-90b9037e17ad,s_1b640c847760,6e1003b5a45f3c44f012f29b2eecd213,d1e0950f4989b090c9e0950f4989b0b093e09d0f4989b0b0a9e0990f4989b0b0a1e08b0b4981b0b0a1e28a0b4991b1b0a1e2aa0b5991b1b2a1e32a0b5b93b9a2a5e32a1b5b91a1a225c32a1b5b11a1a265e32a1b5311a1a345e32a1b5391a1a345e32a1a5391a1a343e72a1213b1a1a343e72a1213b1a1a3a3c7b6171223a3a3a3c6b69732238382abc656b736a78386abd6773636a783820f96473626a783820f96cf6666a783860e8ece6e648787861eaeea6f648687861eacca6f6c8687861eaccaeb4c8e86869ebcdecb4d8e86861cdc968b4d8e86863cdcd68f598e96861cb89697599b9e8e1cb8ac16519a9e8e18b8ac86179a9e8e98f8ae0e37bbbc9eb9f0ea8e37bbbc9cb1f05a4e26b3be9cb1f0da4e26b3bab811f0fede76b3a3b891e0bedc56a7a3b813e0b4985fa7b7baa3e0ec9b5dafb7baa3e0ec9a5d8eb7b2a3c0ec9e5d8ea7b223e0cc1e5f8ea3b783c0c82e5faeb3a7c3c0c82e5fbeb3a78580d82e5fbe97a78580d8ee7b3e97878580f8cc733ab7978580a8cc77babf968580a08c77b2beb68580f08c7772be368d80d08cf6723e360980c08cf6727c360980c08cf6f3fc3e0980c19cb673fc3e0180c19cb6f3fc3e0180c19ca6f3fc3a0180d19ca6f3f43a1900c18ca6f3f43a1900c18caeb3f43a1900c18c36bbf43a1900c18c36bbf43a1900c18c56bff43a1900c14e36bff4ba1900c1c6367f74ba1900c1c6367ff4ba9900c1c6165ff6ba9b00c1c6165ff6b89b00c1c616dff6b89300c1c61e9ff6b89300c1a63e9ff6b89300c1a63e9ff6b89300c1ae3e9f76f89300c1ae3e9f76f89300c1ae1edf76f81300c1a61ece76f81300c1a61cce76d8930081061cee73dc8925890e1cce73cc8925892e1c46b3ec8921890e3c56b3ee8905890c3c56b3e68901892c0c56fbe6890589ac4c56ff678925892c0c56fe63892489040c54de73892489849e544e73894489889e544e7b814499a89e544e3b05449a889cd4ce3b05c412898cd4cebb05841a898cd0c6bb058812898cd8d69b05ca12c98cd8f69b05ca12519cd8f699854a125198d8f698814a325198d8f698814a325198d8f298898a325118d8f29c8988325118d8f29c8b8a32111858e29d8b8a32111858e29d8b8a3011185ce18d8b887011185ce18d8b887093105cf08d899870931054f08c891872931054928c8b5812929054928c89581292b034528c89580692b03453dc895806a2b0b0d1dca94ca4f8f8f6d89095cbd6187978b0f82b949577495a68b8b7b7f72cecacfad0b6b63a5d6cacbdf886b6e7b6b9dcdc98094da5f2bbb9b8faed4b2eb451b3b5b1b9da9a9ba6f1b1b0c7d6ba3161c5c0c0f1b5364484d78ae80e0e66e282a424544303595cac8a8ba3996065699b89c848b5543c3d928baf9711bcb9a9998981849257dfd5d3cbc6c7,dhash-v2-gray640-equalized-area9x8@0.1s,1280,720,12757,1347303,30,2148500,6,86fe5bb9-935f-5cbd-8bba-f7cdf873b6bf,
f46097f2-e624-5fb9-98fa-5a9a02b9b958,,bf1f217e900aba00b75d0575b2235ad4,1ea01098b73e1e331ea01058b73e1e171c801058f73e1e171da010d8f73e1e571da010d8f73e3e971d8010d8f73e3e971900b018f73e3e971900b010f73e3e971d00b054773f3e971d009054f73f3e979d0090547f3b3e979d009050f73b3e971d009052777f3e971d00901af77f3e9f1c00801ae77b3e1f1e00803aed793e1e1e409018fd693e1e1a409018ed693e1e1a50900aed6d3e1e1e509008afed3e7e16509028afed3f7e96508028aae5bb7e16408028aee6fb7d164080242ae6fb7f124080a42eeef97f134081a422eef97f128081a422afed7d158081a272afecf985a0912232bfeed98520912232afefdd85205142721e5fdc0d00514250565fdc0d10514254565fde0910514a58565fd70900504a78565fd7090a504a68f65fd7894b105068e65cd7894b90d028e24c37894b90902af06c37896b9090aaf06e3f892b9091aaf86ebf896a3091c8f86e1f896b309088e8661e89ab20909ae8661c89aa21b080e8661c0300509cb773fe360300d19cb673fc360300d19ca673fc360300d19ca6f37c360100d18ca6f37c321100e18ca6b36c3a1900e18c26b7ec3a1900c10c36b7ec321b00c14c56b7ec321b00c14636b7ec3a1b00c14676376c3a1b00c146363f663a1b00c146165f66ba1b00c146165f66ba1300c156565ff6ba1300c1461edff6b91300c1a61edff6b91300c1263edff6b91300c1261edf76f91300c1261edf76f91300c0261edf76f91300c0261edf66fd1300c1261ecf66f91300c1261ecf66fc1b0589261e4e67fc8b05892e5c4eebfc8b05892e5c4e7bf48905892c4c4efbe68905092c4c4e7b668905892c0c5eef678924092c4c57ef678924090c0c556f778924090c0c544e738944098c1c54ce73814409a88e544e73054419888cd4ce33052412898cd4ce1305a4120908d4ee9b05aa120908dce69f05ca125908d8e69f054a12511cd8e69f054a125118d8e69f854a125118d8e69e894a125118c8f69c8b4a125118c8f29c8b8a32511858e29c8b8a32511858e39c9b8a3211185ce39d8b8a3011185ce59d8b8a3011185ce58c8b083013101cf58c8b0820931014f08c8b5832931014d28c8b5802923014528c8b5802933034529c8b5806b33034519c8b5006a2b03451de2d4ca67ad8f6d8d65dce9418795839da2b95876749486978b5b6d6284c2c1890b6963a6dadaccdd89734e7b5addd1c980b5d35e78a39088ac3cf6c32b21015b1195ada95e5e1b1f386d69239e5c1c1c2f1b436c4849780c21e0c64c286a504554347494c8c8a8da32960694991999958336e1f1d930da79733b8b9b191838384,dhash-v2-gray640-equalized-area9x8@0.1s,1280,720,11865,1530206,30,2269564,1,86fe5bb9-935f-5cbd-8bba-f7cdf873b6bf,
